,gene_ID,count,mean,std,p_val,p_corr
1261,ECB_00649,28.0,3.634270453328274e-07,3.03803206403446e-07,0.864,1.0
1262,ECB_02256,8.0,3.629466951667458e-07,3.0640142863352303e-07,0.69,1.0
1263,ECB_01411,6.0,3.6283410253101277e-07,3.4874969357135823e-07,0.65,1.0
1264,ECB_04204,9.0,3.6274372397921745e-07,4.6945589753807616e-07,0.692,1.0
1265,ECB_00238,118.0,3.62698734381418e-07,3.290028055577023e-07,0.994,1.0
1266,ECB_00485,18.0,3.6269056326385844e-07,2.9945767596095575e-07,0.788,1.0
1267,ECB_02541,31.0,3.6265754769911525e-07,3.202293390724697e-07,0.846,1.0
1268,ECB_03663,5.0,3.621367717585478e-07,1.561860583744317e-07,0.61,1.0
1269,ECB_02550,9.0,3.618682191700464e-07,1.6344462059906743e-07,0.666,1.0
1270,ECB_04123,32.0,3.6163749401340595e-07,3.851358395131916e-07,0.876,1.0
1271,ECB_01450,16.0,3.6151208432308807e-07,3.7945197380890824e-07,0.776,1.0
1272,ECB_02285,30.0,3.614214756497292e-07,3.3678593154708487e-07,0.886,1.0
1273,ECB_03910,49.0,3.6141773504770935e-07,3.3883096235235953e-07,0.918,1.0
1274,ECB_02876,9.0,3.6116729212707556e-07,2.315636529143794e-07,0.68,1.0
1275,ECB_01942,94.0,3.611338843354617e-07,3.3822987446475803e-07,0.976,1.0
1276,ECB_00944,60.0,3.608932537762453e-07,4.089222137068446e-07,0.964,1.0
1277,ECB_01642,22.0,3.606688018334432e-07,2.389507970870995e-07,0.846,1.0
1278,ECB_03774,28.0,3.605763025244327e-07,3.8648626228402413e-07,0.852,1.0
1279,ECB_01349,22.0,3.602589386892483e-07,2.839943867244873e-07,0.82,1.0
1280,ECB_00652,6.0,3.599834967438343e-07,3.3265260318532575e-07,0.664,1.0
1281,ECB_03026,6.0,3.592129159348979e-07,3.094523318471136e-07,0.662,1.0
1282,ECB_01260,11.0,3.589273761959393e-07,3.268334891067338e-07,0.736,1.0
1283,ECB_01753,37.0,3.5882549922240403e-07,2.631774460081563e-07,0.908,1.0
