,gene_ID,count,mean,std,p_val,p_corr
186,ECB_00655,11.0,2.3865726245023545e-07,1.7799481069382073e-07,0.176,1.0
187,ECB_02773,8.0,2.385782137544862e-07,1.7507766783719507e-07,0.242,1.0
188,ECB_03352,10.0,2.3811935854009732e-07,2.2350641720137866e-07,0.224,1.0
189,ECB_02412,17.0,2.3785310981298532e-07,1.7434293647645664e-07,0.164,1.0
190,ECB_02500,10.0,2.3761212086886653e-07,1.427382217511646e-07,0.244,1.0
191,ECB_01285,12.0,2.375619842331779e-07,3.2431028318514625e-07,0.176,1.0
192,ECB_02571,13.0,2.3750723673852865e-07,2.412054011837812e-07,0.188,1.0
193,ECB_02086,7.0,2.3741293667634307e-07,1.562784359083596e-07,0.236,1.0
194,ECB_01140,7.0,2.3716741125411542e-07,2.1797951019757599e-07,0.216,1.0
195,ECB_02931,4.0,2.366630697421088e-07,2.043750916996229e-07,0.304,1.0
196,ECB_01248,7.0,2.365420325452217e-07,1.4575401170422368e-07,0.268,1.0
197,ECB_01062,12.0,2.3646639369116122e-07,1.8944263573276096e-07,0.216,1.0
198,ECB_02525,76.0,2.3625603870883256e-07,2.295903257157158e-07,0.056,1.0
199,ECB_02491,24.0,2.357920682245925e-07,2.0170502935629739e-07,0.142,1.0
200,ECB_03629,6.0,2.3571085757158524e-07,2.1474242719220109e-07,0.284,1.0
201,ECB_01484,42.0,2.3558593292456777e-07,2.5427343538433996e-07,0.104,1.0
202,ECB_03954,13.0,2.3552650674312762e-07,2.973073882546656e-07,0.224,1.0
203,ECB_03982,14.0,2.3551264810884936e-07,2.3603391151101125e-07,0.182,1.0
204,ECB_00418,4.0,2.3540031553282632e-07,1.6072611273464702e-07,0.314,1.0
205,ECB_02764,49.0,2.35190865649003e-07,2.428884464236103e-07,0.084,1.0
206,ECB_01509,5.0,2.349912909708844e-07,2.4815324544172543e-07,0.274,1.0
207,ECB_01763,14.0,2.3486854089506555e-07,3.7389014545355143e-07,0.234,1.0
208,ECB_01569,24.0,2.3464686044802378e-07,1.8752152619372584e-07,0.142,1.0
209,ECB_04054,8.0,2.344373923073693e-07,1.8195327807979838e-07,0.278,1.0
210,ECB_01260,25.0,2.3346033298246824e-07,2.0674106696930037e-07,0.142,1.0
211,ECB_03203,4.0,2.333390900910427e-07,1.4984126926956714e-07,0.278,1.0
212,ECB_03579,8.0,2.3315952746965995e-07,1.6708581259724105e-07,0.292,1.0
213,ECB_02524,41.0,2.327159623806277e-07,2.0183739910330144e-07,0.11,1.0
214,ECB_01231,15.0,2.3213098284294704e-07,2.9332518588458636e-07,0.234,1.0
215,ECB_02700,7.0,2.3198327326865458e-07,1.6346004097960998e-07,0.282,1.0
216,ECB_00223,8.0,2.319098634278801e-07,1.398535683892383e-07,0.26,1.0
217,ECB_02978,23.0,2.3132462242325558e-07,1.78588289264211e-07,0.184,1.0
218,ECB_01959,9.0,2.3109373670388013e-07,2.338971487618883e-07,0.24,1.0
219,ECB_00290,8.0,2.3085972622651173e-07,1.4912640288355625e-07,0.278,1.0
220,ECB_00725,5.0,2.3053604455958953e-07,2.1241599755094057e-07,0.322,1.0
221,ECB_01854,5.0,2.3036521874067942e-07,1.6449796513871096e-07,0.276,1.0
222,ECB_01804,6.0,2.301157369038431e-07,2.876900705674587e-07,0.254,1.0
223,ECB_02620,22.0,2.2998988592781447e-07,1.648120042292933e-07,0.18,1.0
224,ECB_03292,30.0,2.2985119069752524e-07,2.2618748814994766e-07,0.142,1.0
225,ECB_02297,4.0,2.2973748887934467e-07,1.378215083328069e-07,0.272,1.0
226,ECB_01675,13.0,2.2965197681557413e-07,1.848460403284302e-07,0.23,1.0
227,ECB_04192,5.0,2.2958858054508404e-07,1.4636589358967298e-07,0.302,1.0
228,ECB_02669,18.0,2.2950175542452357e-07,2.3119558592529528e-07,0.228,1.0
229,ECB_02914,5.0,2.293389035943608e-07,3.841111194768345e-07,0.282,1.0
230,ECB_01450,10.0,2.2905760316241147e-07,1.4759913094966652e-07,0.28,1.0
231,ECB_02492,66.0,2.2900054141459833e-07,1.9895292038751164e-07,0.082,1.0
232,ECB_02870,8.0,2.289906805550942e-07,2.069669549449197e-07,0.284,1.0
233,ECB_02974,21.0,2.2874592427942412e-07,2.2667142703726542e-07,0.208,1.0
234,ECB_02020,20.0,2.287046506810491e-07,1.6059305940136684e-07,0.178,1.0
235,ECB_02362,6.0,2.286240731758251e-07,1.7519445405505998e-07,0.288,1.0
236,ECB_00050,6.0,2.282343049308003e-07,1.455153767729405e-07,0.322,1.0
237,ECB_01259,6.0,2.2813246678034545e-07,1.587944313297823e-07,0.272,1.0
238,ECB_02972,10.0,2.280284648867308e-07,2.0803727990066088e-07,0.27,1.0
239,ECB_01255,4.0,2.280047993048816e-07,2.8487599972657415e-07,0.304,1.0
240,ECB_03222,4.0,2.2764859594110209e-07,2.144433042399326e-07,0.32,1.0
241,ECB_01424,5.0,2.2760529228677707e-07,7.923203829433726e-08,0.294,1.0
242,ECB_03127,4.0,2.2743793973955952e-07,2.3020011729552446e-07,0.314,1.0
243,ECB_04077,26.0,2.2738471188372631e-07,1.9619312474291337e-07,0.192,1.0
244,ECB_03596,4.0,2.2727224181968657e-07,1.5896355715896498e-07,0.276,1.0
245,ECB_03260,15.0,2.2680146034857597e-07,2.3465096402351054e-07,0.256,1.0
246,ECB_02077,21.0,2.2663098910269983e-07,1.5109896906856402e-07,0.21,1.0
247,ECB_01589,7.0,2.260520805532825e-07,1.693560762370643e-07,0.284,1.0
248,ECB_04091,12.0,2.2575452798566106e-07,1.5917605070191145e-07,0.308,1.0
249,ECB_03936,4.0,2.2540856152433396e-07,2.2288882398576077e-07,0.312,1.0
250,ECB_03557,8.0,2.2538098781634558e-07,1.6333560073494895e-07,0.288,1.0
251,ECB_01355,13.0,2.25351190401601e-07,1.7065885945640368e-07,0.288,1.0
252,ECB_03958,4.0,2.2509642641128598e-07,2.3832935124144647e-07,0.292,1.0
253,ECB_02581,9.0,2.2499498619953453e-07,1.803450273965819e-07,0.304,1.0
254,ECB_01040,24.0,2.2492357991392395e-07,4.0830307584403557e-07,0.206,1.0
255,ECB_02872,9.0,2.244586783319324e-07,9.589713691154789e-08,0.312,1.0
256,ECB_03282,7.0,2.2444042057138307e-07,3.2794140904263714e-07,0.26,1.0
257,ECB_02096,10.0,2.2436121099776108e-07,2.912144819398391e-07,0.25,1.0
258,ECB_03470,13.0,2.24184908012193e-07,2.495818763485044e-07,0.22,1.0
259,ECB_02198,35.0,2.2418233552765972e-07,1.7742376172989612e-07,0.194,1.0
260,ECB_00917,7.0,2.2412571477670123e-07,1.9123657610279606e-07,0.274,1.0
261,ECB_00295,10.0,2.240736363148801e-07,1.318413526487788e-07,0.248,1.0
262,ECB_00535,11.0,2.2402354077084463e-07,1.5659086028954945e-07,0.3,1.0
263,ECB_02680,4.0,2.2400072430019295e-07,1.4681599786551047e-07,0.318,1.0
264,ECB_03135,6.0,2.238562102198478e-07,2.3406126344466998e-07,0.25,1.0
265,ECB_01595,27.0,2.2376859174170778e-07,1.4366163948485224e-07,0.23,1.0
266,ECB_03552,4.0,2.2363730886105715e-07,1.447573154933754e-07,0.314,1.0
267,ECB_00785,5.0,2.2347399421628072e-07,1.8810003598320833e-07,0.322,1.0
268,ECB_02957,11.0,2.2330406173848282e-07,1.461954235721167e-07,0.252,1.0
269,ECB_00007,14.0,2.2322006365917875e-07,1.576679691737083e-07,0.27,1.0
270,ECB_03202,5.0,2.2316699781571588e-07,6.180131978518373e-08,0.29,1.0
271,ECB_03606,34.0,2.2310241056637487e-07,3.048426305518503e-07,0.192,1.0
272,ECB_00049,10.0,2.2307844753502147e-07,3.0689270475113074e-07,0.288,1.0
273,ECB_03205,4.0,2.228190778840699e-07,1.5131433310255683e-07,0.274,1.0
274,ECB_00638,18.0,2.2275832819892684e-07,2.0935399086249005e-07,0.262,1.0
275,ECB_02151,5.0,2.2259957724157766e-07,2.8493633761570815e-07,0.304,1.0
276,ECB_01916,12.0,2.224475478622708e-07,1.673998679339413e-07,0.284,1.0
277,ECB_02062,11.0,2.2226378443257504e-07,1.746860978626803e-07,0.266,1.0
278,ECB_00991,8.0,2.2207908316099708e-07,2.1705229082134738e-07,0.276,1.0
279,ECB_01495,17.0,2.2191422016567246e-07,1.5820191590245388e-07,0.28,1.0
280,ECB_02573,13.0,2.218013233993631e-07,1.193702131281715e-07,0.304,1.0
281,ECB_00678,45.0,2.2176551339453305e-07,1.6795372254236747e-07,0.18,1.0
282,ECB_03602,26.0,2.2162950167202535e-07,2.827728829042049e-07,0.218,1.0
283,ECB_01893,15.0,2.2153211507326625e-07,1.674906878517587e-07,0.256,1.0
284,ECB_01144,13.0,2.2142425499420075e-07,1.5067323526856836e-07,0.266,1.0
285,ECB_00038,24.0,2.2109767967817737e-07,1.9731939313037334e-07,0.258,1.0
286,ECB_00951,12.0,2.2048086776018155e-07,2.1630875972818584e-07,0.288,1.0
287,ECB_01156,16.0,2.2026111512033806e-07,1.7741316838255844e-07,0.26,1.0
288,ECB_01863,14.0,2.2020603032694845e-07,2.2853311055383445e-07,0.25,1.0
289,ECB_00522,26.0,2.2019116931108134e-07,1.91111465245306e-07,0.26,1.0
290,ECB_01367,5.0,2.199177791497596e-07,1.314479025506264e-07,0.304,1.0
291,ECB_02526,25.0,2.1988989935205193e-07,1.9057691023891892e-07,0.218,1.0
292,ECB_00309,9.0,2.198662698802049e-07,1.1919193583414201e-07,0.312,1.0
293,ECB_02641,8.0,2.1967441476185977e-07,1.054253258273751e-07,0.342,1.0
294,ECB_02231,14.0,2.1963994169646455e-07,1.4387592561997193e-07,0.312,1.0
295,ECB_00372,4.0,2.195766283116103e-07,1.4506290258573005e-07,0.338,1.0
296,ECB_00756,7.0,2.1930994448504193e-07,1.394791986255897e-07,0.302,1.0
297,ECB_00812,6.0,2.191560609948188e-07,7.459307679730425e-08,0.348,1.0
298,ECB_00709,4.0,2.1913737197289898e-07,1.0933769435825275e-07,0.322,1.0
299,ECB_03594,12.0,2.1912538737936808e-07,1.9201954593853036e-07,0.282,1.0
300,ECB_02456,16.0,2.189988304155642e-07,1.868430725021277e-07,0.298,1.0
301,ECB_02861,27.0,2.1891142319712603e-07,1.6079498222685484e-07,0.268,1.0
302,ECB_02654,17.0,2.187871064836141e-07,1.899439721623902e-07,0.272,1.0
303,ECB_00809,10.0,2.1867725172569614e-07,1.4248802875449282e-07,0.346,1.0
304,ECB_04096,4.0,2.1854027135754306e-07,1.9111432017650033e-07,0.328,1.0
305,ECB_00010,4.0,2.1851105282807417e-07,1.8862202115122845e-07,0.334,1.0
306,ECB_02063,4.0,2.184033735883656e-07,2.1084268956179568e-07,0.326,1.0
307,ECB_02478,4.0,2.1820411883196443e-07,2.2554691143950565e-07,0.316,1.0
308,ECB_01406,10.0,2.1818571343193988e-07,2.413299997069503e-07,0.294,1.0
309,ECB_03740,9.0,2.1809713001478532e-07,1.8605594308902357e-07,0.318,1.0
310,ECB_01410,16.0,2.1770670235480986e-07,2.0238646396113107e-07,0.272,1.0
311,ECB_04131,15.0,2.1766727108525274e-07,1.3831568189118109e-07,0.326,1.0
312,ECB_02259,8.0,2.176601669416817e-07,2.312218145204546e-07,0.326,1.0
313,ECB_02273,16.0,2.1763613613168942e-07,1.5715942220999589e-07,0.256,1.0
